t,share_N,share_E,share_F,W,C_ext,run_id,regime
0,0.0,1.0,0.0,1115.9313068244933,0.0,0,primitive_baseline
1,0.0,1.0,0.0,1115.9313068244933,0.0,0,primitive_baseline
2,0.005,0.995,0.0,1103.3224537943627,0.0,0,primitive_baseline
3,0.01,0.99,0.0,1093.4106808497029,0.0,0,primitive_baseline
4,0.015,0.985,0.0,1074.8564567921796,0.0,0,primitive_baseline
0,0.0,1.0,0.0,1115.9313068244933,0.0,0,safety_only
1,0.0,1.0,0.0,1115.9313068244933,0.0,0,safety_only
2,0.005,0.995,0.0,1103.3224537943627,0.0,0,safety_only
3,0.01,0.99,0.0,1093.4106808497029,0.0,0,safety_only
4,0.015,0.985,0.0,1074.8564567921796,0.0,0,safety_only
0,0.0,1.0,0.0,992.5648373136935,0.0,1,primitive_baseline
1,0.015,0.985,0.0,956.2847908695961,0.0,1,primitive_baseline
2,0.025,0.975,0.0,931.5206830748807,0.0,1,primitive_baseline
3,0.035,0.965,0.0,920.0076475215021,0.0,1,primitive_baseline
4,0.035,0.965,0.0,920.0076475215021,0.0,1,primitive_baseline
0,0.0,1.0,0.0,992.5648373136935,0.0,1,safety_only
1,0.015,0.985,0.0,956.2847908695961,0.0,1,safety_only
2,0.025,0.975,0.0,931.5206830748807,0.0,1,safety_only
3,0.035,0.965,0.0,920.0076475215021,0.0,1,safety_only
4,0.035,0.965,0.0,920.0076475215021,0.0,1,safety_only
0,0.0,1.0,0.0,1144.567994924898,0.0,2,primitive_baseline
1,0.0,1.0,0.0,1144.567994924898,0.0,2,primitive_baseline
2,0.01,0.99,0.0,1137.9672375400235,0.0,2,primitive_baseline
3,0.01,0.99,0.0,1137.9672375400235,0.0,2,primitive_baseline
4,0.01,0.99,0.0,1137.9672375400235,0.0,2,primitive_baseline
0,0.0,1.0,0.0,1144.567994924898,0.0,2,safety_only
1,0.0,1.0,0.0,1144.567994924898,0.0,2,safety_only
2,0.01,0.99,0.0,1137.9672375400235,0.0,2,safety_only
3,0.01,0.99,0.0,1137.9672375400235,0.0,2,safety_only
4,0.01,0.99,0.0,1137.9672375400235,0.0,2,safety_only
0,0.0,1.0,0.0,943.3021625114227,0.0,3,primitive_baseline
1,0.01,0.99,0.0,926.1713933199088,0.0,3,primitive_baseline
2,0.015,0.985,0.0,923.9420249859688,0.0,3,primitive_baseline
3,0.02,0.98,0.0,903.3416217347132,0.0,3,primitive_baseline
4,0.02,0.98,0.0,903.3416217347132,0.0,3,primitive_baseline
0,0.0,1.0,0.0,943.3021625114227,0.0,3,safety_only
1,0.01,0.99,0.0,926.1713933199088,0.0,3,safety_only
