W,t,mechanism_label
958.9255969286748,0,DM
964.9346815471981,1,DM
1053.1782725055139,2,DM
1161.9289016857056,3,DM
1266.1747448783701,4,DM
1372.2842698616219,5,DM
1452.2800534572523,6,DM
1506.0232383218204,7,DM
1541.2929661490057,8,DM
1555.346801056981,9,DM
1560.8427502339541,10,DM
1565.9288563345547,11,DM
1570.8277490375663,12,DM
1570.8277490375663,13,DM
1570.8277490375663,14,DM
1570.8277490375663,15,DM
1570.8277490375663,16,DM
1570.8277490375663,17,DM
1570.8277490375663,18,DM
1570.8277490375663,19,DM
1570.8277490375663,20,DM
1570.8277490375663,21,DM
1570.8277490375663,22,DM
1570.8277490375663,23,DM
1570.8277490375663,24,DM
1570.8277490375663,25,DM
1570.8277490375663,26,DM
1570.8277490375663,27,DM
1570.8277490375663,28,DM
1570.8277490375663,29,DM
1570.8277490375663,30,DM
1570.8277490375663,31,DM
1570.8277490375663,32,DM
1570.8277490375663,33,DM
1570.8277490375663,34,DM
1570.8277490375663,35,DM
1570.8277490375663,36,DM
1570.8277490375663,37,DM
1570.8277490375663,38,DM
1570.8277490375663,39,DM
1570.8277490375663,40,DM
1570.8277490375663,41,DM
1570.8277490375663,42,DM
1570.8277490375663,43,DM
1570.8277490375663,44,DM
1570.8277490375663,45,DM
1570.8277490375663,46,DM
1570.8277490375663,47,DM
1570.8277490375663,48,DM
1570.8277490375663,49,DM
1570.8277490375663,50,DM
1570.8277490375663,51,DM
1570.8277490375663,52,DM
1570.8277490375663,53,DM
1570.8277490375663,54,DM
1570.8277490375663,55,DM
1570.8277490375663,56,DM
1570.8277490375663,57,DM
1570.8277490375663,58,DM
1570.8277490375663,59,DM
1570.8277490375663,60,DM
1570.8277490375663,61,DM
1570.8277490375663,62,DM
1570.8277490375663,63,DM
1570.8277490375663,64,DM
1570.8277490375663,65,DM
1570.8277490375663,66,DM
1570.8277490375663,67,DM
1570.8277490375663,68,DM
1570.8277490375663,69,DM
1570.8277490375663,70,DM
1570.8277490375663,71,DM
1570.8277490375663,72,DM
1570.8277490375663,73,DM
1570.8277490375663,74,DM
1570.8277490375663,75,DM
1570.8277490375663,76,DM
1570.8277490375663,77,DM
1570.8277490375663,78,DM
1570.8277490375663,79,DM
1570.8277490375663,80,DM
1570.8277490375663,81,DM
1570.8277490375663,82,DM
1570.8277490375663,83,DM
1570.8277490375663,84,DM
1570.8277490375663,85,DM
1570.8277490375663,86,DM
1570.8277490375663,87,DM
1570.8277490375663,88,DM
1570.8277490375663,89,DM
1570.8277490375663,90,DM
1570.8277490375663,91,DM
1570.8277490375663,92,DM
1570.8277490375663,93,DM
1570.8277490375663,94,DM
1570.8277490375663,95,DM
1570.8277490375663,96,DM
1570.8277490375663,97,DM
1570.8277490375663,98,DM
1570.8277490375663,99,DM
1570.8277490375663,100,DM
1570.8277490375663,101,DM
1570.8277490375663,102,DM
1570.8277490375663,103,DM
1570.8277490375663,104,DM
1570.8277490375663,105,DM
1570.8277490375663,106,DM
1570.8277490375663,107,DM
1570.8277490375663,108,DM
1570.8277490375663,109,DM
1570.8277490375663,110,DM
1570.8277490375663,111,DM
1570.8277490375663,112,DM
1570.8277490375663,113,DM
1570.8277490375663,114,DM
1570.8277490375663,115,DM
1570.8277490375663,116,DM
1570.8277490375663,117,DM
1570.8277490375663,118,DM
1570.8277490375663,119,DM
1570.8277490375663,120,DM
958.9255969286748,0,DM-ASD (t=20)
964.9346815471981,1,DM-ASD (t=20)
1053.1782725055139,2,DM-ASD (t=20)
1161.9289016857056,3,DM-ASD (t=20)
1266.1747448783701,4,DM-ASD (t=20)
1372.2842698616219,5,DM-ASD (t=20)
1467.4027118356728,6,DM-ASD (t=20)
1564.1857503616995,7,DM-ASD (t=20)
1644.3801964633067,8,DM-ASD (t=20)
1703.737506057865,9,DM-ASD (t=20)
1749.715917718594,10,DM-ASD (t=20)
1791.8653877502607,11,DM-ASD (t=20)
1823.3382768985384,12,DM-ASD (t=20)
1843.6421099099414,13,DM-ASD (t=20)
1857.4319472572913,14,DM-ASD (t=20)
1864.4612037048496,15,DM-ASD (t=20)
1866.8384257021235,16,DM-ASD (t=20)
1865.1090071794742,17,DM-ASD (t=20)
1859.8786632195272,18,DM-ASD (t=20)
1853.4284095411083,19,DM-ASD (t=20)
1842.3132513205237,20,DM-ASD (t=20)
1842.3132513205237,21,DM-ASD (t=20)
1842.3132513205237,22,DM-ASD (t=20)
1842.3132513205237,23,DM-ASD (t=20)
1842.3132513205237,24,DM-ASD (t=20)
1842.3132513205237,25,DM-ASD (t=20)
1842.3132513205237,26,DM-ASD (t=20)
1842.3132513205237,27,DM-ASD (t=20)
1842.3132513205237,28,DM-ASD (t=20)
1842.3132513205237,29,DM-ASD (t=20)
1842.3132513205237,30,DM-ASD (t=20)
1842.3132513205237,31,DM-ASD (t=20)
1842.3132513205237,32,DM-ASD (t=20)
1842.3132513205237,33,DM-ASD (t=20)
1842.3132513205237,34,DM-ASD (t=20)
1842.3132513205237,35,DM-ASD (t=20)
1842.3132513205237,36,DM-ASD (t=20)
1842.3132513205237,37,DM-ASD (t=20)
1842.3132513205237,38,DM-ASD (t=20)
1842.3132513205237,39,DM-ASD (t=20)
1842.3132513205237,40,DM-ASD (t=20)
1842.3132513205237,41,DM-ASD (t=20)
1842.3132513205237,42,DM-ASD (t=20)
1842.3132513205237,43,DM-ASD (t=20)
1842.3132513205237,44,DM-ASD (t=20)
1842.3132513205237,45,DM-ASD (t=20)
1842.3132513205237,46,DM-ASD (t=20)
1842.3132513205237,47,DM-ASD (t=20)
1842.3132513205237,48,DM-ASD (t=20)
1842.3132513205237,49,DM-ASD (t=20)
1842.3132513205237,50,DM-ASD (t=20)
1842.3132513205237,51,DM-ASD (t=20)
1842.3132513205237,52,DM-ASD (t=20)
1842.3132513205237,53,DM-ASD (t=20)
1842.3132513205237,54,DM-ASD (t=20)
1842.3132513205237,55,DM-ASD (t=20)
1842.3132513205237,56,DM-ASD (t=20)
1842.3132513205237,57,DM-ASD (t=20)
1842.3132513205237,58,DM-ASD (t=20)
1842.3132513205237,59,DM-ASD (t=20)
1842.3132513205237,60,DM-ASD (t=20)
1842.3132513205237,61,DM-ASD (t=20)
1842.3132513205237,62,DM-ASD (t=20)
1842.3132513205237,63,DM-ASD (t=20)
1842.3132513205237,64,DM-ASD (t=20)
1842.3132513205237,65,DM-ASD (t=20)
1842.3132513205237,66,DM-ASD (t=20)
1842.3132513205237,67,DM-ASD (t=20)
1842.3132513205237,68,DM-ASD (t=20)
1842.3132513205237,69,DM-ASD (t=20)
1842.3132513205237,70,DM-ASD (t=20)
1842.3132513205237,71,DM-ASD (t=20)
1842.3132513205237,72,DM-ASD (t=20)
1842.3132513205237,73,DM-ASD (t=20)
1842.3132513205237,74,DM-ASD (t=20)
1842.3132513205237,75,DM-ASD (t=20)
1842.3132513205237,76,DM-ASD (t=20)
1842.3132513205237,77,DM-ASD (t=20)
1842.3132513205237,78,DM-ASD (t=20)
1842.3132513205237,79,DM-ASD (t=20)
1842.3132513205237,80,DM-ASD (t=20)
1842.3132513205237,81,DM-ASD (t=20)
1842.3132513205237,82,DM-ASD (t=20)
1842.3132513205237,83,DM-ASD (t=20)
1842.3132513205237,84,DM-ASD (t=20)
1842.3132513205237,85,DM-ASD (t=20)
1842.3132513205237,86,DM-ASD (t=20)
1842.3132513205237,87,DM-ASD (t=20)
1842.3132513205237,88,DM-ASD (t=20)
1842.3132513205237,89,DM-ASD (t=20)
1842.3132513205237,90,DM-ASD (t=20)
1842.3132513205237,91,DM-ASD (t=20)
1842.3132513205237,92,DM-ASD (t=20)
1842.3132513205237,93,DM-ASD (t=20)
1842.3132513205237,94,DM-ASD (t=20)
1842.3132513205237,95,DM-ASD (t=20)
1842.3132513205237,96,DM-ASD (t=20)
1842.3132513205237,97,DM-ASD (t=20)
1842.3132513205237,98,DM-ASD (t=20)
1842.3132513205237,99,DM-ASD (t=20)
1842.3132513205237,100,DM-ASD (t=20)
1842.3132513205237,101,DM-ASD (t=20)
1842.3132513205237,102,DM-ASD (t=20)
1842.3132513205237,103,DM-ASD (t=20)
1842.3132513205237,104,DM-ASD (t=20)
1842.3132513205237,105,DM-ASD (t=20)
1842.3132513205237,106,DM-ASD (t=20)
1842.3132513205237,107,DM-ASD (t=20)
1842.3132513205237,108,DM-ASD (t=20)
1842.3132513205237,109,DM-ASD (t=20)
1842.3132513205237,110,DM-ASD (t=20)
1842.3132513205237,111,DM-ASD (t=20)
1842.3132513205237,112,DM-ASD (t=20)
1842.3132513205237,113,DM-ASD (t=20)
1842.3132513205237,114,DM-ASD (t=20)
1842.3132513205237,115,DM-ASD (t=20)
1842.3132513205237,116,DM-ASD (t=20)
