run_id,fee_multiple,seed_share_f,beta_rhood,rounds_completed,converged,final_share_N,final_share_E,final_share_F,final_C_ext,final_W,stable_window_W,charged_F_count,blocked_F_count,threshold_trigger_rate
3,0.0,0.0,0.05,63,1,0.0,0.055,0.945,75.83553390150266,1474.2060990720008,1483.5514472990476,0.0,0.0,0.8888888888888888
3,0.5,0.0,0.05,63,1,0.0,0.055,0.945,75.83553390150266,1474.2060990720008,1483.5514472990476,560.0,0.0,0.8888888888888888
3,1.0,0.0,0.05,11,1,0.0,0.715,0.285,30.728292769902435,1478.7898084840551,1324.504061367866,40.0,26.0,0.36363636363636365
3,1.5,0.0,0.05,100,0,0.0,0.61,0.39,31.83175357345195,1512.314919060736,1485.581933969921,590.0,590.0,0.59
3,2.0,0.0,0.05,100,0,0.0,0.61,0.39,31.83175357345195,1512.314919060736,1485.581933969921,590.0,590.0,0.59
1,0.0,0.0,0.05,61,1,0.0,0.05,0.95,82.16280908773088,1682.0735767059368,1705.980438756078,0.0,0.0,0.8524590163934426
1,0.5,0.0,0.05,61,1,0.0,0.05,0.95,82.16280908773088,1682.0735767059368,1705.980438756078,520.0,0.0,0.8524590163934426
1,1.0,0.0,0.05,15,1,0.0,0.6,0.4,39.55690611718498,1734.5744938612363,1639.7034461770927,50.0,30.0,0.3333333333333333
1,1.5,0.0,0.05,100,0,0.0,0.595,0.405,36.13356037085573,1628.985528569095,1658.5618474989587,510.0,510.0,0.51
1,2.0,0.0,0.05,100,0,0.0,0.595,0.405,36.13356037085573,1628.985528569095,1658.5618474989587,510.0,510.0,0.51
0,0.0,0.0,0.05,73,1,0.0,0.035,0.965,77.2106920962757,806.3732594214061,814.3847021921221,0.0,0.0,0.9178082191780822
0,0.5,0.0,0.05,73,1,0.0,0.035,0.965,77.2106920962757,806.3732594214061,814.3847021921221,670.0,0.0,0.9178082191780822
0,1.0,0.0,0.05,10,1,0.0,0.74,0.26,25.845543299801985,1503.0728478890094,1340.7413350922009,40.0,25.0,0.4
0,1.5,0.0,0.05,100,0,0.0,0.7,0.3,24.88743609290177,1477.6613709681592,1452.3557253678468,660.0,660.0,0.66
0,2.0,0.0,0.05,100,0,0.0,0.7,0.3,24.88743609290177,1477.6613709681592,1452.3557253678468,660.0,660.0,0.66
2,0.0,0.0,0.05,62,1,0.0,0.02,0.98,79.88221522854984,1400.1477998052737,1416.1969571963648,0.0,0.0,0.8709677419354839
2,0.5,0.0,0.05,62,1,0.0,0.02,0.98,79.88221522854984,1400.1477998052737,1416.1969571963648,540.0,0.0,0.8709677419354839
2,1.0,0.0,0.05,12,1,0.0,0.645,0.355,32.49980348077946,1711.1301641814757,1576.7171446703808,40.0,27.0,0.3333333333333333
2,1.5,0.0,0.05,100,0,0.0,0.595,0.405,31.80898020338294,1691.0104206311842,1680.4364368452607,580.0,580.0,0.58
2,2.0,0.0,0.05,100,0,0.0,0.595,0.405,31.80898020338294,1691.0104206311842,1680.4364368452607,580.0,580.0,0.58
5,0.0,0.0,0.05,56,1,0.0,0.06,0.94,77.75775917031439,969.4849174538481,994.4123043240803,0.0,0.0,0.8928571428571429
5,0.5,0.0,0.05,56,1,0.0,0.06,0.94,77.75775917031439,969.4849174538481,994.4123043240803,500.0,0.0,0.8928571428571429
5,1.0,0.0,0.05,10,1,0.0,0.735,0.265,27.460937878471345,1449.1302761016402,1291.4320965544543,40.0,33.0,0.4
5,1.5,0.0,0.05,100,0,0.0,0.71,0.29,24.518394138161128,1367.7483293793416,1412.919077667616,630.0,630.0,0.63
5,2.0,0.0,0.05,100,0,0.0,0.71,0.29,24.518394138161128,1367.7483293793416,1412.919077667616,630.0,630.0,0.63
4,0.0,0.0,0.05,55,1,0.0,0.085,0.915,72.9166019299424,1896.2153962109476,1908.6260537268743,0.0,0.0,0.8363636363636363
4,0.5,0.0,0.05,55,1,0.0,0.085,0.915,72.9166019299424,1896.2153962109476,1908.6260537268743,460.0,0.0,0.8363636363636363
4,1.0,0.0,0.05,13,1,0.0,0.635,0.365,34.62048253044155,1630.4809357864872,1507.9379295712683,40.0,24.0,0.3076923076923077
4,1.5,0.0,0.05,100,0,0.0,0.645,0.355,33.20517832004536,1584.7677091853313,1591.1179816516953,560.0,560.0,0.56
4,2.0,0.0,0.05,100,0,0.0,0.645,0.355,33.20517832004536,1584.7677091853313,1591.1179816516953,560.0,560.0,0.56
6,0.0,0.0,0.05,65,1,0.0,0.025,0.975,79.43312673529476,1537.8893134355358,1544.2832144521053,0.0,0.0,0.8769230769230769
6,0.5,0.0,0.05,65,1,0.0,0.025,0.975,79.43312673529476,1537.8893134355358,1544.2832144521053,570.0,0.0,0.8769230769230769
6,1.0,0.0,0.05,16,1,0.0,0.64,0.36,34.55458605453789,1633.0697918568012,1597.1090803174059,70.0,45.0,0.4375
6,1.5,0.0,0.05,100,0,0.0,0.62,0.38,31.519362992458422,1539.4612820900861,1554.6787253831094,560.0,560.0,0.56
6,2.0,0.0,0.05,100,0,0.0,0.62,0.38,31.519362992458422,1539.4612820900861,1554.6787253831094,560.0,560.0,0.56
7,0.0,0.0,0.05,65,1,0.0,0.04,0.96,73.89340681091176,1556.6417256665811,1563.9373444150895,0.0,0.0,0.9076923076923077
7,0.5,0.0,0.05,65,1,0.0,0.04,0.96,73.89340681091176,1556.6417256665811,1563.9373444150895,590.0,0.0,0.9076923076923077
7,1.0,0.0,0.05,13,1,0.0,0.69,0.31,27.89193111728342,1496.153967966963,1446.9453895794763,60.0,39.0,0.46153846153846156
7,1.5,0.0,0.05,100,0,0.0,0.65,0.35,27.27026161449467,1477.5445763676842,1490.6093671759177,580.0,580.0,0.58
7,2.0,0.0,0.05,100,0,0.0,0.65,0.35,27.27026161449467,1477.5445763676842,1490.6093671759177,580.0,580.0,0.58
9,0.0,0.0,0.05,59,1,0.0,0.06,0.94,76.93168923162997,1720.4453919486732,1724.1748141652308,0.0,0.0,0.864406779661017
