t,share_N,share_E,share_F,W,C_ext,run_id,fee_multiple
0,0.0,1.0,0.0,943.3021625114227,0.0,3,0.0
1,0.0,0.95,0.05,848.8112236013449,4.723487520462342,3,0.0
2,0.0,0.905,0.095,918.8279399395201,8.856797545946751,3,0.0
3,0.0,0.855,0.145,1056.7601880351035,15.009564680705044,3,0.0
4,0.0,0.82,0.18,1164.768640203216,19.39731097375087,3,0.0
5,0.0,0.79,0.21,1311.4597444450508,24.93020381653475,3,0.0
6,0.0,0.755,0.245,1399.2750586354948,28.03642546878693,3,0.0
7,0.0,0.715,0.285,1478.7898084840551,30.728292769902435,3,0.0
8,0.0,0.675,0.325,1604.9182961026568,34.957949330393504,3,0.0
9,0.0,0.64,0.36,1658.7170251798543,37.05359921753427,3,0.0
10,0.0,0.615,0.385,1721.6780918575087,39.95676523953933,3,0.0
11,0.0,0.59,0.41,1742.1406850983062,41.061100578050436,3,0.0
12,0.0,0.555,0.445,1782.5975226678497,43.65810756459338,3,0.0
13,0.0,0.525,0.475,1831.0640634095635,48.58473847140978,3,0.0
14,0.0,0.495,0.505,1841.811803035193,51.28690483998109,3,0.0
15,0.0,0.47,0.53,1843.2423333618317,52.76707552855041,3,0.0
16,0.0,0.445,0.555,1842.3235729170324,53.71865561172321,3,0.0
17,0.0,0.42,0.58,1838.0276145429389,55.26398204910154,3,0.0
18,0.0,0.4,0.6,1833.9851588663246,56.17042149640926,3,0.0
19,0.0,0.365,0.635,1820.9966276575406,58.14422214681352,3,0.0
20,0.0,0.36,0.64,1818.2188982032362,58.49211576261157,3,0.0
21,0.0,0.34,0.66,1802.7278501873502,60.14160095228948,3,0.0
22,0.0,0.32,0.68,1789.2968814072906,61.29875295544855,3,0.0
23,0.0,0.305,0.695,1784.7244041916533,61.66655609981591,3,0.0
24,0.0,0.295,0.705,1776.5683572684475,62.28580744213978,3,0.0
25,0.0,0.29,0.71,1775.7558583695418,62.34502575576209,3,0.0
26,0.0,0.265,0.735,1765.8020635028802,63.04842512088745,3,0.0
27,0.0,0.245,0.755,1743.9568425432935,64.45065698891825,3,0.0
28,0.0,0.24,0.76,1732.8799503292964,65.10076020159207,3,0.0
29,0.0,0.23,0.77,1727.2360629310203,65.42354893944551,3,0.0
30,0.0,0.22,0.78,1723.431322650748,65.63429774030335,3,0.0
31,0.0,0.215,0.785,1719.2281989536507,65.86613656808854,3,0.0
32,0.0,0.215,0.785,1719.2281989536507,65.86613656808854,3,0.0
33,0.0,0.21,0.79,1713.0290035348307,66.2000194514712,3,0.0
34,0.0,0.205,0.795,1709.3182562340803,66.39457983944878,3,0.0
35,0.0,0.205,0.795,1709.3182562340803,66.39457983944878,3,0.0
36,0.0,0.195,0.805,1699.9059672251094,66.87743823432167,3,0.0
37,0.0,0.18,0.82,1678.5255271555188,67.93598870686225,3,0.0
38,0.0,0.17,0.83,1671.2122836759659,68.28327940625621,3,0.0
39,0.0,0.16,0.84,1653.1210882736557,69.10274001866465,3,0.0
40,0.0,0.155,0.845,1647.062116576852,69.37219502427496,3,0.0
41,0.0,0.15,0.85,1631.4323401517534,70.05137239754403,3,0.0
42,0.0,0.15,0.85,1631.4323401517534,70.05137239754403,3,0.0
43,0.0,0.145,0.855,1625.6847021557417,70.29481223793614,3,0.0
44,0.0,0.135,0.865,1614.0779213601672,70.77064069998039,3,0.0
45,0.0,0.125,0.875,1603.215823830754,71.20966705262089,3,0.0
46,0.0,0.12,0.88,1591.1572415596625,71.68066866906997,3,0.0
47,0.0,0.11,0.89,1587.8043077324585,71.8101315289076,3,0.0
48,0.0,0.1,0.9,1561.1531327240066,72.8223925862874,3,0.0
49,0.0,0.085,0.915,1527.0534018612268,74.04700108318164,3,0.0
50,0.0,0.085,0.915,1527.0534018612268,74.04700108318164,3,0.0
51,0.0,0.085,0.915,1527.0534018612268,74.04700108318164,3,0.0
52,0.0,0.085,0.915,1527.0534018612268,74.04700108318164,3,0.0
53,0.0,0.075,0.925,1514.0126571802234,74.49923654062782,3,0.0
54,0.0,0.07,0.93,1511.1754012992697,74.59710179750432,3,0.0
55,0.0,0.065,0.935,1491.8140793222597,75.25683982622428,3,0.0
56,0.0,0.065,0.935,1491.8140793222597,75.25683982622428,3,0.0
57,0.0,0.065,0.935,1491.8140793222597,75.25683982622428,3,0.0
58,0.0,0.06,0.94,1477.8663383644232,75.7164920931425,3,0.0
59,0.0,0.055,0.945,1474.2060990720008,75.83553390150266,3,0.0
60,0.0,0.055,0.945,1474.2060990720008,75.83553390150266,3,0.0
61,0.0,0.055,0.945,1474.2060990720008,75.83553390150266,3,0.0
62,0.0,0.055,0.945,1474.2060990720008,75.83553390150266,3,0.0
63,0.0,0.055,0.945,1474.2060990720008,75.83553390150266,3,0.0
0,0.0,1.0,0.0,943.3021625114227,0.0,3,0.5
1,0.0,0.95,0.05,848.8112236013449,4.723487520462342,3,0.5
2,0.0,0.905,0.095,918.8279399395201,8.856797545946751,3,0.5
3,0.0,0.855,0.145,1056.7601880351035,15.009564680705044,3,0.5
4,0.0,0.82,0.18,1164.768640203216,19.39731097375087,3,0.5
5,0.0,0.79,0.21,1311.4597444450508,24.93020381653475,3,0.5
6,0.0,0.755,0.245,1399.2750586354948,28.03642546878693,3,0.5
7,0.0,0.715,0.285,1478.7898084840551,30.728292769902435,3,0.5
8,0.0,0.675,0.325,1604.9182961026568,34.957949330393504,3,0.5
9,0.0,0.64,0.36,1658.7170251798543,37.05359921753427,3,0.5
10,0.0,0.615,0.385,1721.6780918575087,39.95676523953933,3,0.5
11,0.0,0.59,0.41,1742.1406850983062,41.061100578050436,3,0.5
12,0.0,0.555,0.445,1782.5975226678497,43.65810756459338,3,0.5
13,0.0,0.525,0.475,1831.0640634095635,48.58473847140978,3,0.5
14,0.0,0.495,0.505,1841.811803035193,51.28690483998109,3,0.5
15,0.0,0.47,0.53,1843.2423333618317,52.76707552855041,3,0.5
16,0.0,0.445,0.555,1842.3235729170324,53.71865561172321,3,0.5
17,0.0,0.42,0.58,1838.0276145429389,55.26398204910154,3,0.5
18,0.0,0.4,0.6,1833.9851588663246,56.17042149640926,3,0.5
19,0.0,0.365,0.635,1820.9966276575406,58.14422214681352,3,0.5
20,0.0,0.36,0.64,1818.2188982032362,58.49211576261157,3,0.5
21,0.0,0.34,0.66,1802.7278501873502,60.14160095228948,3,0.5
22,0.0,0.32,0.68,1789.2968814072906,61.29875295544855,3,0.5
23,0.0,0.305,0.695,1784.7244041916533,61.66655609981591,3,0.5
24,0.0,0.295,0.705,1776.5683572684475,62.28580744213978,3,0.5
25,0.0,0.29,0.71,1775.7558583695418,62.34502575576209,3,0.5
26,0.0,0.265,0.735,1765.8020635028802,63.04842512088745,3,0.5
27,0.0,0.245,0.755,1743.9568425432935,64.45065698891825,3,0.5
28,0.0,0.24,0.76,1732.8799503292964,65.10076020159207,3,0.5
29,0.0,0.23,0.77,1727.2360629310203,65.42354893944551,3,0.5
30,0.0,0.22,0.78,1723.431322650748,65.63429774030335,3,0.5
31,0.0,0.215,0.785,1719.2281989536507,65.86613656808854,3,0.5
32,0.0,0.215,0.785,1719.2281989536507,65.86613656808854,3,0.5
33,0.0,0.21,0.79,1713.0290035348307,66.2000194514712,3,0.5
34,0.0,0.205,0.795,1709.3182562340803,66.39457983944878,3,0.5
35,0.0,0.205,0.795,1709.3182562340803,66.39457983944878,3,0.5
36,0.0,0.195,0.805,1699.9059672251094,66.87743823432167,3,0.5
37,0.0,0.18,0.82,1678.5255271555188,67.93598870686225,3,0.5
38,0.0,0.17,0.83,1671.2122836759659,68.28327940625621,3,0.5
39,0.0,0.16,0.84,1653.1210882736557,69.10274001866465,3,0.5
40,0.0,0.155,0.845,1647.062116576852,69.37219502427496,3,0.5
41,0.0,0.15,0.85,1631.4323401517534,70.05137239754403,3,0.5
42,0.0,0.15,0.85,1631.4323401517534,70.05137239754403,3,0.5
43,0.0,0.145,0.855,1625.6847021557417,70.29481223793614,3,0.5
44,0.0,0.135,0.865,1614.0779213601672,70.77064069998039,3,0.5
45,0.0,0.125,0.875,1603.215823830754,71.20966705262089,3,0.5
46,0.0,0.12,0.88,1591.1572415596625,71.68066866906997,3,0.5
47,0.0,0.11,0.89,1587.8043077324585,71.8101315289076,3,0.5
48,0.0,0.1,0.9,1561.1531327240066,72.8223925862874,3,0.5
