run_id,source,share_N,share_E,share_F,beta_rr
0,simulation_rr,0.0,0.035,0.965,0.05
0,theory_rr,0.0,0.0,1.0,0.05
0,theory_rr_async,0.0,0.005,0.995,0.05
1,simulation_rr,0.0,0.05,0.95,0.05
1,theory_rr,0.0,0.0,1.0,0.05
1,theory_rr_async,0.0,0.005,0.995,0.05
2,simulation_rr,0.0,0.02,0.98,0.05
2,theory_rr,0.0,0.0,1.0,0.05
2,theory_rr_async,0.0,0.0,1.0,0.05
3,simulation_rr,0.0,0.055,0.945,0.05
3,theory_rr,0.0,0.0,1.0,0.05
3,theory_rr_async,0.0,0.0,1.0,0.05
4,simulation_rr,0.0,0.085,0.915,0.05
4,theory_rr,0.0,0.0,1.0,0.05
4,theory_rr_async,0.0,0.01,0.99,0.05
5,simulation_rr,0.0,0.06,0.94,0.05
5,theory_rr,0.0,0.0,1.0,0.05
5,theory_rr_async,0.0,0.01,0.99,0.05
6,simulation_rr,0.0,0.025,0.975,0.05
6,theory_rr,0.0,0.0,1.0,0.05
6,theory_rr_async,0.0,0.0,1.0,0.05
7,simulation_rr,0.0,0.04,0.96,0.05
7,theory_rr,0.0,0.0,1.0,0.05
7,theory_rr_async,0.0,0.015,0.985,0.05
8,simulation_rr,0.0,0.025,0.975,0.05
8,theory_rr,0.0,0.0,1.0,0.05
8,theory_rr_async,0.0,0.005,0.995,0.05
9,simulation_rr,0.0,0.06,0.94,0.05
9,theory_rr,0.0,0.0,1.0,0.05
9,theory_rr_async,0.0,0.0,1.0,0.05
10,simulation_rr,0.0,0.03,0.97,0.05
10,theory_rr,0.0,0.0,1.0,0.05
10,theory_rr_async,0.0,0.01,0.99,0.05
11,simulation_rr,0.0,0.04,0.96,0.05
11,theory_rr,0.0,0.0,1.0,0.05
11,theory_rr_async,0.0,0.01,0.99,0.05
12,simulation_rr,0.0,0.06,0.94,0.05
12,theory_rr,0.0,0.0,1.0,0.05
12,theory_rr_async,0.0,0.005,0.995,0.05
13,simulation_rr,0.0,0.0,1.0,0.05
13,theory_rr,0.0,0.0,1.0,0.05
13,theory_rr_async,0.0,0.0,1.0,0.05
14,simulation_rr,0.0,0.025,0.975,0.05
14,theory_rr,0.0,0.0,1.0,0.05
14,theory_rr_async,0.0,0.01,0.99,0.05
15,simulation_rr,0.0,0.04,0.96,0.05
15,theory_rr,0.0,0.0,1.0,0.05
15,theory_rr_async,0.0,0.0,1.0,0.05
16,simulation_rr,0.0,0.055,0.945,0.05
16,theory_rr,0.0,0.0,1.0,0.05
16,theory_rr_async,0.0,0.005,0.995,0.05
17,simulation_rr,0.0,0.025,0.975,0.05
17,theory_rr,0.0,0.0,1.0,0.05
17,theory_rr_async,0.0,0.01,0.99,0.05
18,simulation_rr,0.0,0.03,0.97,0.05
18,theory_rr,0.0,0.0,1.0,0.05
18,theory_rr_async,0.0,0.005,0.995,0.05
19,simulation_rr,0.0,0.005,0.995,0.05
19,theory_rr,0.0,0.0,1.0,0.05
19,theory_rr_async,0.0,0.0,1.0,0.05
20,simulation_rr,0.0,0.065,0.935,0.05
20,theory_rr,0.0,0.0,1.0,0.05
20,theory_rr_async,0.0,0.0,1.0,0.05
21,simulation_rr,0.0,0.045,0.955,0.05
21,theory_rr,0.0,0.0,1.0,0.05
21,theory_rr_async,0.0,0.005,0.995,0.05
22,simulation_rr,0.0,0.075,0.925,0.05
22,theory_rr,0.0,0.0,1.0,0.05
22,theory_rr_async,0.0,0.0,1.0,0.05
23,simulation_rr,0.0,0.0,1.0,0.05
23,theory_rr,0.0,0.0,1.0,0.05
23,theory_rr_async,0.0,0.0,1.0,0.05
24,simulation_rr,0.0,0.065,0.935,0.05
24,theory_rr,0.0,0.0,1.0,0.05
24,theory_rr_async,0.0,0.01,0.99,0.05
25,simulation_rr,0.0,0.04,0.96,0.05
25,theory_rr,0.0,0.0,1.0,0.05
25,theory_rr_async,0.0,0.015,0.985,0.05
26,simulation_rr,0.0,0.06,0.94,0.05
26,theory_rr,0.0,0.0,1.0,0.05
26,theory_rr_async,0.0,0.0,1.0,0.05
27,simulation_rr,0.0,0.02,0.98,0.05
27,theory_rr,0.0,0.0,1.0,0.05
27,theory_rr_async,0.0,0.0,1.0,0.05
28,simulation_rr,0.0,0.045,0.955,0.05
28,theory_rr,0.0,0.0,1.0,0.05
28,theory_rr_async,0.0,0.0,1.0,0.05
29,simulation_rr,0.0,0.01,0.99,0.05
29,theory_rr,0.0,0.0,1.0,0.05
29,theory_rr_async,0.0,0.005,0.995,0.05
30,simulation_rr,0.0,0.04,0.96,0.05
30,theory_rr,0.0,0.0,1.0,0.05
30,theory_rr_async,0.0,0.005,0.995,0.05
31,simulation_rr,0.0,0.025,0.975,0.05
31,theory_rr,0.0,0.0,1.0,0.05
31,theory_rr_async,0.0,0.0,1.0,0.05
32,simulation_rr,0.0,0.03,0.97,0.05
32,theory_rr,0.0,0.0,1.0,0.05
32,theory_rr_async,0.0,0.01,0.99,0.05
33,simulation_rr,0.0,0.035,0.965,0.05
33,theory_rr,0.0,0.0,1.0,0.05
33,theory_rr_async,0.0,0.005,0.995,0.05
34,simulation_rr,0.0,0.01,0.99,0.05
34,theory_rr,0.0,0.0,1.0,0.05
34,theory_rr_async,0.0,0.0,1.0,0.05
35,simulation_rr,0.0,0.04,0.96,0.05
35,theory_rr,0.0,0.0,1.0,0.05
35,theory_rr_async,0.0,0.0,1.0,0.05
