t,share_N,share_E,share_F,run_id,source,beta_rr
0,0.0,1.0,0.0,0,simulation_rr,0.05
1,0.0,0.95,0.05,0,simulation_rr,0.05
2,0.0,0.91,0.09,0,simulation_rr,0.05
3,0.0,0.86,0.14,0,simulation_rr,0.05
4,0.0,0.82,0.18,0,simulation_rr,0.05
5,0.0,0.775,0.225,0,simulation_rr,0.05
6,0.0,0.74,0.26,0,simulation_rr,0.05
7,0.0,0.71,0.29,0,simulation_rr,0.05
8,0.0,0.685,0.315,0,simulation_rr,0.05
9,0.0,0.65,0.35,0,simulation_rr,0.05
10,0.0,0.625,0.375,0,simulation_rr,0.05
11,0.0,0.59,0.41,0,simulation_rr,0.05
12,0.0,0.55,0.45,0,simulation_rr,0.05
13,0.0,0.53,0.47,0,simulation_rr,0.05
14,0.0,0.5,0.5,0,simulation_rr,0.05
15,0.0,0.49,0.51,0,simulation_rr,0.05
16,0.0,0.47,0.53,0,simulation_rr,0.05
17,0.0,0.44,0.56,0,simulation_rr,0.05
18,0.0,0.42,0.58,0,simulation_rr,0.05
19,0.0,0.4,0.6,0,simulation_rr,0.05
20,0.0,0.39,0.61,0,simulation_rr,0.05
21,0.0,0.365,0.635,0,simulation_rr,0.05
22,0.0,0.35,0.65,0,simulation_rr,0.05
23,0.0,0.335,0.665,0,simulation_rr,0.05
24,0.0,0.315,0.685,0,simulation_rr,0.05
25,0.0,0.305,0.695,0,simulation_rr,0.05
26,0.0,0.29,0.71,0,simulation_rr,0.05
27,0.0,0.28,0.72,0,simulation_rr,0.05
28,0.0,0.27,0.73,0,simulation_rr,0.05
29,0.0,0.26,0.74,0,simulation_rr,0.05
30,0.0,0.255,0.745,0,simulation_rr,0.05
31,0.0,0.245,0.755,0,simulation_rr,0.05
32,0.0,0.235,0.765,0,simulation_rr,0.05
33,0.0,0.22,0.78,0,simulation_rr,0.05
34,0.0,0.22,0.78,0,simulation_rr,0.05
35,0.0,0.21,0.79,0,simulation_rr,0.05
36,0.0,0.21,0.79,0,simulation_rr,0.05
37,0.0,0.19,0.81,0,simulation_rr,0.05
38,0.0,0.175,0.825,0,simulation_rr,0.05
39,0.0,0.165,0.835,0,simulation_rr,0.05
40,0.0,0.16,0.84,0,simulation_rr,0.05
41,0.0,0.145,0.855,0,simulation_rr,0.05
42,0.0,0.145,0.855,0,simulation_rr,0.05
43,0.0,0.135,0.865,0,simulation_rr,0.05
44,0.0,0.13,0.87,0,simulation_rr,0.05
45,0.0,0.125,0.875,0,simulation_rr,0.05
