run_id,source,share_N,share_E,share_F,beta_rr
0,simulation_safety_fee,0.0,0.74,0.26,0.05
0,theory_safety_fee,0.0,1.0,0.0,0.05
0,theory_safety_fee_async,0.0,0.74,0.26,0.05
1,simulation_safety_fee,0.0,0.6,0.4,0.05
1,theory_safety_fee,0.0,1.0,0.0,0.05
1,theory_safety_fee_async,0.0,0.6,0.4,0.05
2,simulation_safety_fee,0.0,0.645,0.355,0.05
2,theory_safety_fee,0.0,1.0,0.0,0.05
2,theory_safety_fee_async,0.0,0.645,0.355,0.05
3,simulation_safety_fee,0.0,0.715,0.285,0.05
3,theory_safety_fee,0.0,1.0,0.0,0.05
3,theory_safety_fee_async,0.0,0.685,0.315,0.05
4,simulation_safety_fee,0.0,0.635,0.365,0.05
4,theory_safety_fee,0.0,1.0,0.0,0.05
4,theory_safety_fee_async,0.0,0.61,0.39,0.05
5,simulation_safety_fee,0.0,0.735,0.265,0.05
5,theory_safety_fee,0.0,1.0,0.0,0.05
5,theory_safety_fee_async,0.0,0.735,0.265,0.05
6,simulation_safety_fee,0.0,0.64,0.36,0.05
6,theory_safety_fee,0.0,1.0,0.0,0.05
6,theory_safety_fee_async,0.0,0.64,0.36,0.05
7,simulation_safety_fee,0.0,0.69,0.31,0.05
7,theory_safety_fee,0.0,1.0,0.0,0.05
7,theory_safety_fee_async,0.0,0.645,0.355,0.05
8,simulation_safety_fee,0.0,0.7,0.3,0.05
8,theory_safety_fee,0.0,1.0,0.0,0.05
8,theory_safety_fee_async,0.0,0.7,0.3,0.05
9,simulation_safety_fee,0.0,0.61,0.39,0.05
9,theory_safety_fee,0.0,1.0,0.0,0.05
9,theory_safety_fee_async,0.0,0.585,0.415,0.05
10,simulation_safety_fee,0.0,0.63,0.37,0.05
10,theory_safety_fee,0.0,1.0,0.0,0.05
10,theory_safety_fee_async,0.0,0.63,0.37,0.05
11,simulation_safety_fee,0.0,0.65,0.35,0.05
11,theory_safety_fee,0.0,1.0,0.0,0.05
11,theory_safety_fee_async,0.0,0.63,0.37,0.05
12,simulation_safety_fee,0.0,0.625,0.375,0.05
12,theory_safety_fee,0.0,1.0,0.0,0.05
12,theory_safety_fee_async,0.0,0.625,0.375,0.05
13,simulation_safety_fee,0.0,0.705,0.295,0.05
13,theory_safety_fee,0.0,1.0,0.0,0.05
13,theory_safety_fee_async,0.0,0.69,0.31,0.05
14,simulation_safety_fee,0.0,0.59,0.41,0.05
