t,share_N,share_E,share_F,run_id,source
0,0.0,1.0,0.0,0,simulation_safety_fee
1,0.0,0.95,0.05,0,simulation_safety_fee
2,0.0,0.91,0.09,0,simulation_safety_fee
3,0.0,0.86,0.14,0,simulation_safety_fee
4,0.0,0.82,0.18,0,simulation_safety_fee
5,0.0,0.775,0.225,0,simulation_safety_fee
6,0.0,0.74,0.26,0,simulation_safety_fee
7,0.0,0.74,0.26,0,simulation_safety_fee
8,0.0,0.74,0.26,0,simulation_safety_fee
9,0.0,0.74,0.26,0,simulation_safety_fee
10,0.0,0.74,0.26,0,simulation_safety_fee
0,0.0,1.0,0.0,0,theory_safety_fee
1,0.0,1.0,0.0,0,theory_safety_fee
2,0.0,1.0,0.0,0,theory_safety_fee
3,0.0,1.0,0.0,0,theory_safety_fee
4,0.0,1.0,0.0,0,theory_safety_fee
5,0.0,1.0,0.0,0,theory_safety_fee
6,0.0,1.0,0.0,0,theory_safety_fee
7,0.0,1.0,0.0,0,theory_safety_fee
8,0.0,1.0,0.0,0,theory_safety_fee
9,0.0,1.0,0.0,0,theory_safety_fee
10,0.0,1.0,0.0,0,theory_safety_fee
11,0.0,1.0,0.0,0,theory_safety_fee
12,0.0,1.0,0.0,0,theory_safety_fee
13,0.0,1.0,0.0,0,theory_safety_fee
14,0.0,1.0,0.0,0,theory_safety_fee
15,0.0,1.0,0.0,0,theory_safety_fee
16,0.0,1.0,0.0,0,theory_safety_fee
17,0.0,1.0,0.0,0,theory_safety_fee
18,0.0,1.0,0.0,0,theory_safety_fee
19,0.0,1.0,0.0,0,theory_safety_fee
20,0.0,1.0,0.0,0,theory_safety_fee
21,0.0,1.0,0.0,0,theory_safety_fee
22,0.0,1.0,0.0,0,theory_safety_fee
23,0.0,1.0,0.0,0,theory_safety_fee
24,0.0,1.0,0.0,0,theory_safety_fee
25,0.0,1.0,0.0,0,theory_safety_fee
26,0.0,1.0,0.0,0,theory_safety_fee
27,0.0,1.0,0.0,0,theory_safety_fee
28,0.0,1.0,0.0,0,theory_safety_fee
29,0.0,1.0,0.0,0,theory_safety_fee
30,0.0,1.0,0.0,0,theory_safety_fee
31,0.0,1.0,0.0,0,theory_safety_fee
32,0.0,1.0,0.0,0,theory_safety_fee
33,0.0,1.0,0.0,0,theory_safety_fee
34,0.0,1.0,0.0,0,theory_safety_fee
35,0.0,1.0,0.0,0,theory_safety_fee
36,0.0,1.0,0.0,0,theory_safety_fee
37,0.0,1.0,0.0,0,theory_safety_fee
38,0.0,1.0,0.0,0,theory_safety_fee
39,0.0,1.0,0.0,0,theory_safety_fee
40,0.0,1.0,0.0,0,theory_safety_fee
41,0.0,1.0,0.0,0,theory_safety_fee
42,0.0,1.0,0.0,0,theory_safety_fee
43,0.0,1.0,0.0,0,theory_safety_fee
44,0.0,1.0,0.0,0,theory_safety_fee
45,0.0,1.0,0.0,0,theory_safety_fee
46,0.0,1.0,0.0,0,theory_safety_fee
47,0.0,1.0,0.0,0,theory_safety_fee
48,0.0,1.0,0.0,0,theory_safety_fee
49,0.0,1.0,0.0,0,theory_safety_fee
50,0.0,1.0,0.0,0,theory_safety_fee
51,0.0,1.0,0.0,0,theory_safety_fee
52,0.0,1.0,0.0,0,theory_safety_fee
53,0.0,1.0,0.0,0,theory_safety_fee
54,0.0,1.0,0.0,0,theory_safety_fee
