run_id,source,share_N,share_E,share_F
0,simulation,0.015,0.985,0.0
0,theory_closure,0.125,0.875,0.0
1,simulation,0.035,0.965,0.0
1,theory_closure,0.16,0.84,0.0
2,simulation,0.01,0.99,0.0
2,theory_closure,0.075,0.925,0.0
3,simulation,0.02,0.98,0.0
3,theory_closure,0.13,0.87,0.0
4,simulation,0.03,0.97,0.0
4,theory_closure,0.145,0.855,0.0
5,simulation,0.015,0.985,0.0
5,theory_closure,0.105,0.895,0.0
6,simulation,0.02,0.98,0.0
6,theory_closure,0.175,0.825,0.0
7,simulation,0.035,0.965,0.0
7,theory_closure,0.12,0.88,0.0
8,simulation,0.025,0.975,0.0
8,theory_closure,0.115,0.885,0.0
9,simulation,0.015,0.985,0.0
9,theory_closure,0.095,0.905,0.0
10,simulation,0.02,0.98,0.0
10,theory_closure,0.09,0.91,0.0
11,simulation,0.015,0.985,0.0
11,theory_closure,0.075,0.925,0.0
12,simulation,0.035,0.965,0.0
12,theory_closure,0.115,0.885,0.0
13,simulation,0.03,0.97,0.0
13,theory_closure,0.095,0.905,0.0
14,simulation,0.03,0.97,0.0
14,theory_closure,0.14,0.86,0.0
15,simulation,0.01,0.99,0.0
15,theory_closure,0.09,0.91,0.0
16,simulation,0.025,0.975,0.0
16,theory_closure,0.135,0.865,0.0
17,simulation,0.015,0.985,0.0
17,theory_closure,0.115,0.885,0.0
18,simulation,0.035,0.93,0.035
18,theory_closure,0.125,0.875,0.0
19,simulation,0.045,0.005,0.95
19,theory_closure,0.045,0.0,0.955
20,simulation,0.02,0.065,0.915
20,theory_closure,0.025,0.0,0.975
21,simulation,0.025,0.045,0.93
21,theory_closure,0.095,0.905,0.0
22,simulation,0.035,0.035,0.93
22,theory_closure,0.035,0.0,0.965
23,simulation,0.035,0.01,0.955
23,theory_closure,0.035,0.0,0.965
24,simulation,0.04,0.9,0.06
24,theory_closure,0.055,0.0,0.945
25,simulation,0.025,0.945,0.03
25,theory_closure,0.025,0.0,0.975
26,simulation,0.055,0.915,0.03
26,theory_closure,0.05,0.0,0.95
27,simulation,0.02,0.02,0.96
27,theory_closure,0.02,0.0,0.98
28,simulation,0.04,0.045,0.915
28,theory_closure,0.115,0.885,0.0
29,simulation,0.035,0.01,0.955
29,theory_closure,0.13,0.87,0.0
30,simulation,0.03,0.045,0.925
30,theory_closure,0.125,0.875,0.0
31,simulation,0.015,0.925,0.06
31,theory_closure,0.035,0.0,0.965
32,simulation,0.03,0.035,0.935
32,theory_closure,0.03,0.0,0.97
33,simulation,0.035,0.035,0.93
33,theory_closure,0.04,0.0,0.96
34,simulation,0.025,0.005,0.97
34,theory_closure,0.105,0.895,0.0
35,simulation,0.07,0.875,0.055
35,theory_closure,0.04,0.0,0.96
