t,share_N,share_E,share_F,run_id,source
0,0.0,1.0,0.0,0,simulation
1,0.0,1.0,0.0,0,simulation
2,0.005,0.995,0.0,0,simulation
3,0.01,0.99,0.0,0,simulation
4,0.015,0.985,0.0,0,simulation
0,0.0,1.0,0.0,0,theory_closure
1,0.125,0.875,0.0,0,theory_closure
2,0.125,0.875,0.0,0,theory_closure
3,0.125,0.875,0.0,0,theory_closure
4,0.125,0.875,0.0,0,theory_closure
5,0.125,0.875,0.0,0,theory_closure
6,0.125,0.875,0.0,0,theory_closure
7,0.125,0.875,0.0,0,theory_closure
8,0.125,0.875,0.0,0,theory_closure
9,0.125,0.875,0.0,0,theory_closure
10,0.125,0.875,0.0,0,theory_closure
11,0.125,0.875,0.0,0,theory_closure
12,0.125,0.875,0.0,0,theory_closure
13,0.125,0.875,0.0,0,theory_closure
14,0.125,0.875,0.0,0,theory_closure
15,0.125,0.875,0.0,0,theory_closure
16,0.125,0.875,0.0,0,theory_closure
17,0.125,0.875,0.0,0,theory_closure
18,0.125,0.875,0.0,0,theory_closure
19,0.125,0.875,0.0,0,theory_closure
20,0.125,0.875,0.0,0,theory_closure
21,0.125,0.875,0.0,0,theory_closure
22,0.125,0.875,0.0,0,theory_closure
23,0.125,0.875,0.0,0,theory_closure
24,0.125,0.875,0.0,0,theory_closure
25,0.125,0.875,0.0,0,theory_closure
26,0.125,0.875,0.0,0,theory_closure
27,0.125,0.875,0.0,0,theory_closure
28,0.125,0.875,0.0,0,theory_closure
29,0.125,0.875,0.0,0,theory_closure
30,0.125,0.875,0.0,0,theory_closure
31,0.125,0.875,0.0,0,theory_closure
32,0.125,0.875,0.0,0,theory_closure
33,0.125,0.875,0.0,0,theory_closure
34,0.125,0.875,0.0,0,theory_closure
35,0.125,0.875,0.0,0,theory_closure
36,0.125,0.875,0.0,0,theory_closure
37,0.125,0.875,0.0,0,theory_closure
38,0.125,0.875,0.0,0,theory_closure
39,0.125,0.875,0.0,0,theory_closure
40,0.125,0.875,0.0,0,theory_closure
41,0.125,0.875,0.0,0,theory_closure
42,0.125,0.875,0.0,0,theory_closure
43,0.125,0.875,0.0,0,theory_closure
44,0.125,0.875,0.0,0,theory_closure
45,0.125,0.875,0.0,0,theory_closure
46,0.125,0.875,0.0,0,theory_closure
47,0.125,0.875,0.0,0,theory_closure
48,0.125,0.875,0.0,0,theory_closure
49,0.125,0.875,0.0,0,theory_closure
50,0.125,0.875,0.0,0,theory_closure
51,0.125,0.875,0.0,0,theory_closure
52,0.125,0.875,0.0,0,theory_closure
53,0.125,0.875,0.0,0,theory_closure
54,0.125,0.875,0.0,0,theory_closure
55,0.125,0.875,0.0,0,theory_closure
56,0.125,0.875,0.0,0,theory_closure
57,0.125,0.875,0.0,0,theory_closure
58,0.125,0.875,0.0,0,theory_closure
59,0.125,0.875,0.0,0,theory_closure
60,0.125,0.875,0.0,0,theory_closure
61,0.125,0.875,0.0,0,theory_closure
62,0.125,0.875,0.0,0,theory_closure
63,0.125,0.875,0.0,0,theory_closure
64,0.125,0.875,0.0,0,theory_closure
65,0.125,0.875,0.0,0,theory_closure
66,0.125,0.875,0.0,0,theory_closure
67,0.125,0.875,0.0,0,theory_closure
68,0.125,0.875,0.0,0,theory_closure
69,0.125,0.875,0.0,0,theory_closure
70,0.125,0.875,0.0,0,theory_closure
71,0.125,0.875,0.0,0,theory_closure
72,0.125,0.875,0.0,0,theory_closure
73,0.125,0.875,0.0,0,theory_closure
74,0.125,0.875,0.0,0,theory_closure
75,0.125,0.875,0.0,0,theory_closure
76,0.125,0.875,0.0,0,theory_closure
77,0.125,0.875,0.0,0,theory_closure
78,0.125,0.875,0.0,0,theory_closure
