t,W,run_id,source,mechanism,beta_rhood
0,1115.9313068244933,0,simulation,primitive_reference,
1,1115.9313068244933,0,simulation,primitive_reference,
2,1103.3224537943627,0,simulation,primitive_reference,
3,1093.4106808497029,0,simulation,primitive_reference,
4,1074.8564567921796,0,simulation,primitive_reference,
0,1115.9313068244933,0,theory_closure,primitive_reference,
1,897.0631372766978,0,theory_closure,primitive_reference,
2,897.0631372766978,0,theory_closure,primitive_reference,
3,897.0631372766978,0,theory_closure,primitive_reference,
4,897.0631372766978,0,theory_closure,primitive_reference,
5,897.0631372766978,0,theory_closure,primitive_reference,
6,897.0631372766978,0,theory_closure,primitive_reference,
7,897.0631372766978,0,theory_closure,primitive_reference,
8,897.0631372766978,0,theory_closure,primitive_reference,
9,897.0631372766978,0,theory_closure,primitive_reference,
10,897.0631372766978,0,theory_closure,primitive_reference,
11,897.0631372766978,0,theory_closure,primitive_reference,
12,897.0631372766978,0,theory_closure,primitive_reference,
13,897.0631372766978,0,theory_closure,primitive_reference,
14,897.0631372766978,0,theory_closure,primitive_reference,
15,897.0631372766978,0,theory_closure,primitive_reference,
16,897.0631372766978,0,theory_closure,primitive_reference,
17,897.0631372766978,0,theory_closure,primitive_reference,
18,897.0631372766978,0,theory_closure,primitive_reference,
19,897.0631372766978,0,theory_closure,primitive_reference,
20,897.0631372766978,0,theory_closure,primitive_reference,
21,897.0631372766978,0,theory_closure,primitive_reference,
22,897.0631372766978,0,theory_closure,primitive_reference,
23,897.0631372766978,0,theory_closure,primitive_reference,
24,897.0631372766978,0,theory_closure,primitive_reference,
25,897.0631372766978,0,theory_closure,primitive_reference,
26,897.0631372766978,0,theory_closure,primitive_reference,
27,897.0631372766978,0,theory_closure,primitive_reference,
28,897.0631372766978,0,theory_closure,primitive_reference,
29,897.0631372766978,0,theory_closure,primitive_reference,
30,897.0631372766978,0,theory_closure,primitive_reference,
31,897.0631372766978,0,theory_closure,primitive_reference,
32,897.0631372766978,0,theory_closure,primitive_reference,
33,897.0631372766978,0,theory_closure,primitive_reference,
34,897.0631372766978,0,theory_closure,primitive_reference,
35,897.0631372766978,0,theory_closure,primitive_reference,
36,897.0631372766978,0,theory_closure,primitive_reference,
37,897.0631372766978,0,theory_closure,primitive_reference,
38,897.0631372766978,0,theory_closure,primitive_reference,
39,897.0631372766978,0,theory_closure,primitive_reference,
40,897.0631372766978,0,theory_closure,primitive_reference,
41,897.0631372766978,0,theory_closure,primitive_reference,
42,897.0631372766978,0,theory_closure,primitive_reference,
43,897.0631372766978,0,theory_closure,primitive_reference,
44,897.0631372766978,0,theory_closure,primitive_reference,
45,897.0631372766978,0,theory_closure,primitive_reference,
46,897.0631372766978,0,theory_closure,primitive_reference,
47,897.0631372766978,0,theory_closure,primitive_reference,
48,897.0631372766978,0,theory_closure,primitive_reference,
49,897.0631372766978,0,theory_closure,primitive_reference,
50,897.0631372766978,0,theory_closure,primitive_reference,
51,897.0631372766978,0,theory_closure,primitive_reference,
52,897.0631372766978,0,theory_closure,primitive_reference,
53,897.0631372766978,0,theory_closure,primitive_reference,
54,897.0631372766978,0,theory_closure,primitive_reference,
55,897.0631372766978,0,theory_closure,primitive_reference,
56,897.0631372766978,0,theory_closure,primitive_reference,
57,897.0631372766978,0,theory_closure,primitive_reference,
58,897.0631372766978,0,theory_closure,primitive_reference,
